Categoria;Subcategoria;Producto;configuraciones;Codigo ;Descripcion;Enlace de la pagina
Automotor;Lamparas Electronica;P03 ;RP-RS-A-BC-BF -6R2P;1LAP03XX;LÁMPARA ELECTRONICA 12/24V P03 faros 850 930 1800 1820;https://www.solutronic.com.ar/producto/p03-p-faros-de-culata/
Automotor;Lamparas Electronica;P04 ;BF-R-A-B - 6B2P-6BF-6R-6R2P-6A-6A2P-6V-6AZ - BI BF - BI R - BI A;1LAP04XX;LÁMPARA ELECTRÓNICA 12/24V P04  FAROS 1035 400 430;https://www.solutronic.com.ar/producto/lampara-electronica-para-faros-delimitadores-tipo-1035-400-430-y-otros/
Automotor;Lamparas Electronica;P05 ;B-BF -A-R2P-A2P-V;1LAP05XX;LÁMPARA ELECTRÓNICA 12/24V P05 FAROS 634 640;https://www.solutronic.com.ar/producto/p05-634-y-640/
Automotor;Lamparas Electronica;P06 ;B-BF-R2P-A;1LAP06XX;LÁMPARA ELECTRÓNICA 12/24V P06 FARO 1600;https://www.solutronic.com.ar/producto/p06-p-faros-traseros-tipo-1600/
Automotor;Lamparas Electronica;P07 ;2BF-2BC-2V-2AZ-2A-2R 4;1LAP07XX;LÁMPARA ELECTRÓNICA 12/24V P07 PORTALÁMPARA T10;https://www.solutronic.com.ar/producto/p07-p-portalamparas-tipo-t10/
Automotor;Lamparas Electronica;P08 ;B-BF-R2P-A;1LAP08XX;LÁMPARA ELECTRÓNICA 12/24V P08 FARO 1400;https://www.solutronic.com.ar/producto/lampara-electronica-para-faros-traseros-tipo-1400/
Automotor;Lamparas Electronica;P09 ;BF-R-A;1LAP09XX;LÁMPARA ELECTRÓNICA 12/24V P09  FAROS 1037 630;https://www.solutronic.com.ar/producto/p09/
Automotor;Lamparas Electronica;P10 ;BF-A-R2P;1LAP10XX;LÁMPARA ELECTRÓNICA 12/24V P10 FAROS 1830 930/07;Producto nuevo No esta cargado en la pagina
Automotor;Lamparas Electronica;P11;-;1LAP11XX;LÁMPARA ELECTRÓNICA 12/24V P11 FAROS 48030 710 1215 1938;https://www.solutronic.com.ar/producto/p11-p-faros-48030-vehiculos-710-1215-1938/
Automotor;Lamparas Electronica;P12;-;1LAP12XX;LÁMPARA ELECTRÓNICA 12/24V P12 FAROS 61030 1900 CARGO;https://www.solutronic.com.ar/producto/p12-p-faros-1900/
Automotor;Lamparas Electronica;P13;-;1LAP13XX;LÁMPARA ELECTRÓNICA 12/24V P13 LUZ DE PATENTE PARA P11 P12 P17 E11 E12;https://www.solutronic.com.ar/producto/p13-luz-de-patente-p-reemplazo-a-led-p11-y-p12/
Automotor;Lamparas Electronica;P14;-;1LAP14XX;LÁMPARA ELECTRÓNICA 12/24V P14  AUTOEMULADA FARO 1530;https://www.solutronic.com.ar/producto/p14-faros-emulados/
Automotor;Lamparas Electronica;P15;-;1LAP15XX;LÁMPARA ELECTRÓNICA 12/24V P15 FARO 1070;https://www.solutronic.com.ar/producto/p15-para-faro-1017/
Automotor;Lamparas Electronica;P16 ;BC-BF-R-A;1LAP16XX;LÁMPARA ELECTRÓNICA 12/24V P16 FAROS 1035PL 1037PL 401 630;https://www.solutronic.com.ar/producto/p16/
Automotor;Lamparas Electronica;P17;-;1LAP17XX;LÁMPARA ELECTRÓNICA 12/24V P17 BRA FAROS CONSTELLATION;https://www.solutronic.com.ar/producto/p17/
Automotor;Lamparas Electronica;P18;-;1LAP18XX;LÁMPARA ELECTRÓNICA 12/24V P18 BRA PARA FAROS 703;https://www.solutronic.com.ar/producto/reemplazo-p18/
Automotor;Medidores de bateria;V12V;V12V c/Coco - V12V c/Plug - V24V;1VO12VSIMP;VOLTÍMETRO PARA AUTOMOTOR 12V;https://www.solutronic.com.ar/producto/voltimetros-de-precision-12-24-volts/
Automotor;Medidores de bateria;Volt. Profesional;-;1VOPROF;VOLTÍMETRO PROFESIONAL CON MEMORIA Y RANGO DE 9V A 60V;https://www.solutronic.com.ar/producto/voltimetro-profesional-con-memoria-doble/
Luminarias;Luminaria;Fraccionable;-;1LUFRBF;LUMINARIA LED FRACCIONABLE MODULAR 12/24V;https://www.solutronic.com.ar/producto/luminaria-fraccionable-modular/
Luminarias;Luminaria;L1-36-12;12-24v;1LU13612BF;LUMINARIA LED 36 LED  50CM ;https://www.solutronic.com.ar/producto/luminarias-a-leds-l1-36-12-y-l1-36-24-2/
Luminarias;Luminaria;L1-72-12;12-24v;1LU17112BF;LUMINARIA LED 72 LED  100CM ;https://www.solutronic.com.ar/producto/luminarias-a-leds-de-l1-72-12-y-l1-72-24-2/
Luminarias;Luminaria;L2-36-12;12-24v;1LU23612BF;LUMINARIA LED 144 LED  100CM;-
Luminarias;Luminaria;M-30-56;-;5LU3056B;LUMINARIA PARA TABLERO 30 LED 56 CM CON BORNERA;-
Luminarias;Luminaria;M-36-56 12V;12-24v;5LU365612V;LUMINARIA MEDIA CAÑA 36 LED 56 CM;https://www.solutronic.com.ar/producto/led-media-cana/
